264;4991;;59;4987
259;4990;;58;4988
259;4992;;56;4992
296;4985;;58;4988
262;4992;;57;4983
262;4989;;58;4989
259;4984;;61;4987
258;4980;;59;4988
297;4983;;58;4987
259;4992;;54;4985
261;4990;;55;4987
261;4989;;57;4989
265;4992;;57;4991
257;4991;;54;4992
260;4989;;53;4993
265;4991;;55;4992
258;4984;;54;4987
293;4992;;54;4991
263;4991;;56;4991
257;4995;;57;4988
258;4991;;58;4990
261;4994;;55;4985
258;4993;;55;4983
259;4991;;56;4994
258;4986;;54;4994
258;4991;;56;4986
259;4985;;56;4986
300;4994;;63;4989
258;4991;;58;4987
259;4987;;60;4993
261;4994;;54;4991
260;4992;;60;4989
261;4995;;60;4989
257;4991;;57;4989
265;4988;;56;4985
263;4990;;56;4990
263;4994;;57;4993
265;4989;;56;4989
265;4991;;55;4994
264;4996;;57;4988
264;4986;;62;4984
265;4992;;56;4988
260;4990;;58;4990
266;4987;;58;4992
268;4991;;56;4987
262;4990;;52;4992
260;4982;;59;4993
259;4984;;63;4985
259;4989;;52;4990
258;4988;;55;4994
;;;;
263,76;4989,68;;56,8;4989,08
